latitude,longitude,uuid,gattung_botanisch,gattung_deutsch,art_botanisch,art_deutsch,alleebaum,hoehe,stammdurchmesser,stammumfang,kronendurchmesser,baumpatenschaft
54.1113374566318,12.1667940643972,e83e2829-137a-4807-9b83-b6fc0aaa4022,Tilia,Linde,Tilia platyphyllos,Sommer-Linde,1,12.00,25.00,78.54,5.00,0
54.0663912197841,12.1244861608184,119ea78e-d9f2-410e-a0d1-88843d05225a,Carpinus,Hain-/Weißbuche,Carpinus betulus,Gemeine Hainbuche,1,7.00,17.00,53.41,3.50,0
54.1084497673799,12.171939979015,578cfb66-e8d0-4185-aeed-4bd50c35ee82,Tilia,Linde,Tilia cordata,Winter-Linde,1,12.00,25.00,78.54,5.00,0
54.1770924636788,12.0763919836802,98d756b7-1eae-4e46-9893-4626b3714c4d,Thuja,Lebensbaum,Thuja plicata,Riesen-Lebensbaum,0,14.00,32.00,100.53,4.70,0
54.105536010671,12.1764174003701,4e958e5b-eba6-4d74-af4e-f338eb055344,Tilia,Linde,Tilia cordata,Winter-Linde,1,12.00,25.00,78.54,5.00,0
54.0843420068977,12.1869464468513,798a998f-3e1d-4525-8b51-54cfe4b67a9a,Betula,Birke,Betula pendula,Sand-Birke,0,12.00,36.00,113.10,4.00,0
54.1114225775071,12.166590702494,dd643d60-4671-416c-8c3e-fab9e65952b8,Tilia,Linde,Tilia platyphyllos,Sommer-Linde,1,12.00,25.00,78.54,5.00,0
54.1066485920971,12.1749096201597,2e5add30-7f2d-49e3-b599-136e0b119101,Tilia,Linde,Tilia cordata,Winter-Linde,1,12.00,25.00,78.54,6.00,0
54.106498100871,12.1751707863412,5a141f32-b1ce-4678-91ea-641ea85074cb,Tilia,Linde,Tilia cordata,Winter-Linde,1,12.00,25.00,78.54,5.00,0
54.1063924371483,12.1753499511621,98f7d497-55c4-4391-a591-c0478252d443,Tilia,Linde,Tilia cordata,Winter-Linde,1,12.00,26.00,81.68,6.00,0
